,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Sao Gabriel,BR,-30.34,-54.32,60.04,92,100,12.26,overcast clouds
198,Pevek,RU,69.7,170.31,38.53,78,0,17.16,clear sky
199,Akureyri,IS,65.68,-18.09,53.6,76,75,16.11,moderate rain
200,Bitung,ID,1.45,125.18,75.2,94,20,2.24,few clouds
201,Tilichiki,RU,60.47,166.1,37.58,90,34,3.62,scattered clouds
202,Sarevere,EE,58.79,25.43,55.0,91,7,5.88,clear sky
203,East London,ZA,-33.02,27.91,62.69,86,100,9.71,light rain
204,Bullhead City,US,35.15,-114.57,99.0,23,5,6.71,clear sky
205,Hami,CN,42.8,93.45,79.77,17,44,7.96,scattered clouds
206,Bloomfield,US,40.81,-74.19,84.0,44,1,3.36,clear sky
207,Srednekolymsk,RU,67.45,153.68,50.52,67,100,1.25,overcast clouds
208,Hamilton,US,39.18,-84.53,81.0,58,34,4.99,scattered clouds
209,Sandpoint,US,48.28,-116.55,73.99,59,1,3.51,clear sky
210,Saldanha,ZA,-33.01,17.94,64.4,55,10,6.93,clear sky
211,Komsomolskiy,UZ,40.43,71.72,71.6,28,59,4.7,broken clouds
212,Marawi,PH,8.0,124.29,77.0,91,95,5.99,overcast clouds
213,Nuevo Progreso,MX,23.17,-97.95,75.99,72,100,3.0,moderate rain
214,Tiksi,RU,71.69,128.87,42.33,91,99,5.7,light rain
215,Broome,US,42.25,-75.83,69.01,63,20,4.7,few clouds
216,Waynesboro,US,38.07,-78.89,77.0,53,1,4.7,clear sky
217,Forest,US,37.36,-79.29,82.0,47,1,2.75,clear sky
218,Mao,ES,39.89,4.27,78.8,61,20,14.99,few clouds
219,Mattru,SL,7.62,-11.83,76.77,91,92,5.68,light rain
220,Roald,NO,62.58,6.13,57.2,71,40,6.93,scattered clouds
221,Mahebourg,MU,-20.41,57.7,71.6,78,40,10.29,scattered clouds
222,Asau,RO,46.43,26.4,68.0,76,0,1.59,clear sky
223,Magaramkent,RU,41.62,48.35,70.59,65,0,3.18,clear sky
224,Inuvik,CA,68.35,-133.72,33.8,80,90,6.93,overcast clouds
225,Ambon,ID,-3.7,128.18,79.0,14,93,14.47,light rain
226,Shanting,CN,35.08,117.46,71.69,72,0,4.94,light rain
227,Codrington,AU,-38.27,141.97,55.72,63,28,16.46,scattered clouds
228,Haines Junction,CA,60.75,-137.51,45.7,69,0,0.6,clear sky
229,Narsaq,GL,60.92,-46.05,46.4,87,75,4.7,light rain
230,Abu Samrah,SY,35.3,37.18,83.61,25,0,7.85,clear sky
